eps,min_samples,silhouette_score,num_clusters,num_outliers
0.05000000000000002,10,0.43926026027387005,1,1505
0.05000000000000002,12,0.43495510861286263,1,1553
0.048000000000000015,10,0.4307662386639402,1,1596
0.05000000000000002,14,0.4303270495830679,1,1602
0.048000000000000015,12,0.42585417804120534,1,1641
0.04600000000000001,10,0.4233056829348054,1,1678
0.05000000000000002,20,0.4217501118595,1,1706
0.048000000000000015,14,0.4206927928071238,1,1704
0.05000000000000002,22,0.4188069474791388,1,1747
0.04600000000000001,12,0.4166491090338408,1,1747
0.05000000000000002,24,0.4159696433186162,1,1777
0.04400000000000001,10,0.4132422906056637,1,1771
0.05000000000000002,26,0.41271464710577177,1,1813
0.048000000000000015,18,0.41232789617904286,1,1795
0.05000000000000002,28,0.4112077994028172,1,1828
0.05000000000000002,30,0.40954000971508403,1,1842
0.048000000000000015,20,0.4085921961965509,1,1837
0.05000000000000002,32,0.4078662742811471,1,1857
0.04400000000000001,12,0.4074233276473244,1,1836
0.048000000000000015,22,0.4072946042165496,1,1866
0.05000000000000002,34,0.40576625292799917,1,1879
0.048000000000000015,24,0.4044312845332109,1,1895
0.05000000000000002,36,0.4043191222426994,1,1899
0.04600000000000001,18,0.40353647928601116,1,1901
0.048000000000000015,26,0.4022143681527777,1,1914
0.05000000000000002,38,0.4020443408826332,1,1921
0.04600000000000001,20,0.40126553557527944,1,1926
0.04000000000000001,8,0.40010633698719617,1,1898
0.05000000000000002,40,0.3997141531668397,1,1950
0.048000000000000015,28,0.3993582673550733,1,1942
0.04600000000000001,22,0.3983466936746674,1,1958
0.05000000000000002,42,0.3982780976457347,1,1964
0.04400000000000001,16,0.3978174380471148,1,1958
0.048000000000000015,30,0.3976540249468581,1,1961
0.05000000000000002,44,0.3963629178303132,1,1981
0.04600000000000001,24,0.3957729101551707,1,1982
0.048000000000000015,32,0.39526879690881206,1,1988
0.05000000000000002,46,0.39525909486177485,1,2002
0.04400000000000001,18,0.39506688786181704,1,1988
0.05000000000000002,48,0.39444390718086725,1,2012
0.048000000000000015,34,0.39398723846635697,1,2007
0.05000000000000002,50,0.39355514069654296,1,2030
0.04400000000000001,20,0.393096337744259,1,2015
0.04600000000000001,26,0.3928400292792871,1,2012
0.048000000000000015,36,0.392224258918763,1,2025
0.05000000000000002,52,0.3917338006678168,1,2045
0.04200000000000001,16,0.3905448523100594,1,2047
0.04600000000000001,28,0.39037025319803104,1,2042
0.048000000000000015,38,0.39023788119892316,1,2046
