Group,IQR_1.5,Percentage_IQR_1.5,IQR_2.0,Percentage_IQR_2.0,IQR_2.5,Percentage_IQR_2.5,IQR_3.0,Percentage_IQR_3.0,IQR_3.5,Percentage_IQR_3.5,IQR_4.0,Percentage_IQR_4.0,IQR_4.5,Percentage_IQR_4.5,IQR_5.0,Percentage_IQR_5.0,IQR_5.5,Percentage_IQR_5.5,IQR_6.0,Percentage_IQR_6.0
movie,53,3.452768729641694,25,1.6286644951140066,13,0.8469055374592834,8,0.5211726384364821,3,0.19543973941368079,1,0.06514657980456026,0,0.0,0,0.0,0,0.0,0,0.0
short,20,4.23728813559322,14,2.9661016949152543,6,1.2711864406779663,2,0.423728813559322,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
tvEpisode,2,15.384615384615385,2,15.384615384615385,2,15.384615384615385,2,15.384615384615385,2,15.384615384615385,2,15.384615384615385,2,15.384615384615385,2,15.384615384615385,2,15.384615384615385,2,15.384615384615385
tvMiniSeries,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
tvMovie,3,2.4193548387096775,2,1.6129032258064515,1,0.8064516129032258,1,0.8064516129032258,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
tvSeries,12,3.296703296703297,3,0.8241758241758242,1,0.27472527472527475,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
tvShort,1,20.0,1,20.0,1,20.0,1,20.0,1,20.0,1,20.0,1,20.0,1,20.0,1,20.0,1,20.0
tvSpecial,1,3.0303030303030303,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
video,7,17.073170731707318,4,9.75609756097561,3,7.317073170731707,2,4.878048780487805,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
