Group,IQR_1.5,Percentage_IQR_1.5,IQR_2.0,Percentage_IQR_2.0,IQR_2.5,Percentage_IQR_2.5,IQR_3.0,Percentage_IQR_3.0,IQR_3.5,Percentage_IQR_3.5,IQR_4.0,Percentage_IQR_4.0,IQR_4.5,Percentage_IQR_4.5,IQR_5.0,Percentage_IQR_5.0,IQR_5.5,Percentage_IQR_5.5,IQR_6.0,Percentage_IQR_6.0
movie,282,3.9662447257383966,159,2.2362869198312234,92,1.2939521800281293,59,0.829817158931083,38,0.5344585091420534,28,0.39381153305203936,18,0.25316455696202533,14,0.19690576652601968,14,0.19690576652601968,11,0.15471167369901548
short,57,1.7598024081506638,6,0.18524235875270145,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
tvEpisode,180,2.862140244871999,61,0.969947527428844,43,0.6837335029416441,14,0.2226109079344888,12,0.19080934965813326,10,0.15900779138177773,10,0.15900779138177773,4,0.06360311655271109,4,0.06360311655271109,3,0.047702337414533315
tvMiniSeries,4,1.3937282229965158,2,0.6968641114982579,1,0.34843205574912894,1,0.34843205574912894,1,0.34843205574912894,1,0.34843205574912894,1,0.34843205574912894,1,0.34843205574912894,1,0.34843205574912894,0,0.0
tvMovie,37,3.265666372462489,28,2.471315092674316,14,1.235657546337158,7,0.617828773168579,4,0.353045013239188,3,0.264783759929391,1,0.088261253309797,1,0.088261253309797,1,0.088261253309797,0,0.0
tvSeries,47,2.691867124856816,35,2.004581901489118,34,1.9473081328751431,30,1.718213058419244,27,1.5463917525773196,19,1.088201603665521,19,1.088201603665521,17,0.9736540664375716,16,0.9163802978235969,14,0.8018327605956471
tvShort,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
tvSpecial,12,6.185567010309279,4,2.0618556701030926,3,1.5463917525773196,3,1.5463917525773196,3,1.5463917525773196,3,1.5463917525773196,3,1.5463917525773196,3,1.5463917525773196,3,1.5463917525773196,2,1.0309278350515463
video,17,1.678183613030602,8,0.7897334649555774,3,0.29615004935834155,2,0.19743336623889435,2,0.19743336623889435,1,0.09871668311944717,1,0.09871668311944717,0,0.0,0,0.0,0,0.0
