Group,IQR_1.5,Percentage_IQR_1.5,IQR_2.0,Percentage_IQR_2.0,IQR_2.5,Percentage_IQR_2.5,IQR_3.0,Percentage_IQR_3.0,IQR_3.5,Percentage_IQR_3.5,IQR_4.0,Percentage_IQR_4.0,IQR_4.5,Percentage_IQR_4.5,IQR_5.0,Percentage_IQR_5.0,IQR_5.5,Percentage_IQR_5.5,IQR_6.0,Percentage_IQR_6.0
movie,125,8.91583452211127,91,6.490727532097004,80,5.706134094151213,63,4.49358059914408,57,4.065620542082739,47,3.3523537803138375,41,2.9243937232524964,34,2.4251069900142657,31,2.211126961483595,28,1.9971469329529243
short,58,10.881801125703564,48,9.00562851782364,40,7.5046904315197,36,6.75422138836773,31,5.816135084427768,27,5.065666041275797,23,4.315196998123827,21,3.9399624765478425,19,3.564727954971857,18,3.377110694183865
tvEpisode,1,12.5,1,12.5,1,12.5,1,12.5,1,12.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
tvMiniSeries,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
tvMovie,9,10.112359550561797,4,4.49438202247191,4,4.49438202247191,2,2.247191011235955,2,2.247191011235955,2,2.247191011235955,2,2.247191011235955,1,1.1235955056179776,1,1.1235955056179776,1,1.1235955056179776
tvSeries,34,13.709677419354838,29,11.693548387096774,26,10.483870967741936,18,7.258064516129033,15,6.048387096774194,14,5.64516129032258,13,5.241935483870968,13,5.241935483870968,13,5.241935483870968,13,5.241935483870968
tvShort,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
tvSpecial,3,15.789473684210526,3,15.789473684210526,3,15.789473684210526,2,10.526315789473683,2,10.526315789473683,2,10.526315789473683,2,10.526315789473683,2,10.526315789473683,2,10.526315789473683,2,10.526315789473683
video,6,18.181818181818183,6,18.181818181818183,6,18.181818181818183,3,9.090909090909092,3,9.090909090909092,2,6.0606060606060606,2,6.0606060606060606,2,6.0606060606060606,2,6.0606060606060606,2,6.0606060606060606
