Group,IQR_1.5,Percentage_IQR_1.5,IQR_2.0,Percentage_IQR_2.0,IQR_2.5,Percentage_IQR_2.5,IQR_3.0,Percentage_IQR_3.0,IQR_3.5,Percentage_IQR_3.5,IQR_4.0,Percentage_IQR_4.0,IQR_4.5,Percentage_IQR_4.5,IQR_5.0,Percentage_IQR_5.0,IQR_5.5,Percentage_IQR_5.5,IQR_6.0,Percentage_IQR_6.0
movie,175,11.400651465798045,132,8.599348534201955,120,7.81758957654723,86,5.602605863192182,75,4.88599348534202,64,4.169381107491857,57,3.713355048859935,50,3.257328990228013,44,2.8664495114006514,36,2.3452768729641695
short,53,11.228813559322035,43,9.110169491525424,30,6.3559322033898304,23,4.872881355932203,20,4.23728813559322,19,4.025423728813559,17,3.6016949152542375,15,3.1779661016949152,14,2.9661016949152543,14,2.9661016949152543
tvEpisode,2,15.384615384615385,2,15.384615384615385,2,15.384615384615385,2,15.384615384615385,2,15.384615384615385,2,15.384615384615385,2,15.384615384615385,2,15.384615384615385,2,15.384615384615385,2,15.384615384615385
tvMiniSeries,3,7.142857142857142,3,7.142857142857142,2,4.761904761904762,1,2.380952380952381,1,2.380952380952381,1,2.380952380952381,0,0.0,0,0.0,0,0.0,0,0.0
tvMovie,9,7.258064516129033,7,5.64516129032258,5,4.032258064516129,4,3.225806451612903,3,2.4193548387096775,2,1.6129032258064515,2,1.6129032258064515,2,1.6129032258064515,2,1.6129032258064515,2,1.6129032258064515
tvSeries,40,10.989010989010989,28,7.6923076923076925,25,6.868131868131869,24,6.593406593406594,22,6.043956043956044,20,5.4945054945054945,20,5.4945054945054945,17,4.670329670329671,16,4.395604395604396,14,3.8461538461538463
tvShort,1,20.0,1,20.0,1,20.0,1,20.0,1,20.0,1,20.0,1,20.0,1,20.0,1,20.0,1,20.0
tvSpecial,3,9.090909090909092,2,6.0606060606060606,2,6.0606060606060606,1,3.0303030303030303,1,3.0303030303030303,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
video,7,17.073170731707318,7,17.073170731707318,7,17.073170731707318,4,9.75609756097561,4,9.75609756097561,3,7.317073170731707,3,7.317073170731707,3,7.317073170731707,3,7.317073170731707,2,4.878048780487805
