Group,IQR_1,Percentage_IQR_1,IQR_1.5,Percentage_IQR_1.5,IQR_2,Percentage_IQR_2,IQR_2.5,Percentage_IQR_2.5,IQR_3,Percentage_IQR_3,IQR_3.5,Percentage_IQR_3.5
0,138,7.574094401756312,72,3.951701427003293,31,1.7014270032930843,14,0.7683863885839737,6,0.3293084522502744,2,0.10976948408342481
1,415,5.5990286022665945,195,2.63086886130599,92,1.24123043712898,31,0.41824069077172155,4,0.053966540744738264,0,0.0
2,277,4.398920120692393,72,1.1434016198189614,17,0.26996982690169924,2,0.03176115610608226,0,0.0,0,0.0
3,49,4.1988003427592115,12,1.0282776349614395,0,0.0,0,0.0,0,0.0,0,0.0
7,67,6.429942418426103,33,3.166986564299424,17,1.6314779270633395,10,0.9596928982725527,5,0.47984644913627633,2,0.19193857965451055
8,271,8.364197530864198,145,4.4753086419753085,68,2.0987654320987654,22,0.6790123456790124,7,0.21604938271604937,1,0.030864197530864196
