Group,IQR_1,Percentage_IQR_1,IQR_1.5,Percentage_IQR_1.5,IQR_2,Percentage_IQR_2,IQR_2.5,Percentage_IQR_2.5,IQR_3,Percentage_IQR_3,IQR_3.5,Percentage_IQR_3.5
0,90,5.579665220086795,42,2.603843769373838,13,0.805951642901426,0,0.0,0,0.0,0,0.0
1,279,4.089709762532982,46,0.6742890647903841,4,0.05863383172090296,0,0.0,0,0.0,0,0.0
2,259,5.640243902439025,109,2.3736933797909407,24,0.5226480836236934,2,0.04355400696864112,0,0.0,0,0.0
3,73,8.257918552036198,43,4.864253393665159,18,2.0361990950226243,4,0.4524886877828055,1,0.11312217194570137,1,0.11312217194570137
7,53,9.833024118738404,33,6.122448979591836,20,3.710575139146568,13,2.411873840445269,7,1.2987012987012987,3,0.5565862708719851
8,86,3.6846615252784916,33,1.4138817480719794,12,0.5141388174807198,4,0.17137960582690662,0,0.0,0,0.0
