Group,IQR_1.5,Percentage_IQR_1.5,IQR_2.0,Percentage_IQR_2.0,IQR_2.5,Percentage_IQR_2.5,IQR_3.0,Percentage_IQR_3.0,IQR_3.5,Percentage_IQR_3.5,IQR_4.0,Percentage_IQR_4.0,IQR_4.5,Percentage_IQR_4.5,IQR_5.0,Percentage_IQR_5.0,IQR_5.5,Percentage_IQR_5.5,IQR_6.0,Percentage_IQR_6.0
movie,38,2.710413694721826,14,0.9985734664764622,8,0.5706134094151213,3,0.21398002853067047,1,0.07132667617689016,1,0.07132667617689016,0,0.0,0,0.0,0,0.0,0,0.0
short,31,5.816135084427768,18,3.377110694183865,11,2.0637898686679175,5,0.9380863039399625,1,0.18761726078799248,1,0.18761726078799248,1,0.18761726078799248,1,0.18761726078799248,0,0.0,0,0.0
tvEpisode,1,12.5,1,12.5,1,12.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
tvMiniSeries,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
tvMovie,4,4.49438202247191,2,2.247191011235955,1,1.1235955056179776,1,1.1235955056179776,1,1.1235955056179776,1,1.1235955056179776,1,1.1235955056179776,1,1.1235955056179776,1,1.1235955056179776,0,0.0
tvSeries,13,5.241935483870968,7,2.82258064516129,3,1.2096774193548387,1,0.4032258064516129,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
tvShort,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
tvSpecial,3,15.789473684210526,3,15.789473684210526,2,10.526315789473683,2,10.526315789473683,2,10.526315789473683,2,10.526315789473683,1,5.263157894736842,1,5.263157894736842,0,0.0,0,0.0
video,6,18.181818181818183,3,9.090909090909092,2,6.0606060606060606,2,6.0606060606060606,1,3.0303030303030303,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
