Group,IQR_1,Percentage_IQR_1,IQR_1.5,Percentage_IQR_1.5,IQR_2,Percentage_IQR_2,IQR_2.5,Percentage_IQR_2.5,IQR_3,Percentage_IQR_3,IQR_3.5,Percentage_IQR_3.5
0,41,2.2601984564498347,7,0.3858875413450937,1,0.05512679162072767,0,0.0,0,0.0,0,0.0
1,305,4.119951371065784,106,1.4318519519113873,26,0.3512089693367554,6,0.08104822369309739,2,0.027016074564365795,0,0.0
2,212,3.382259093809828,38,0.6062539885130823,9,0.14358647096362476,2,0.031908104658583285,0,0.0,0,0.0
3,5,0.42844901456726653,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
7,40,3.864734299516908,14,1.3526570048309179,5,0.4830917874396135,0,0.0,0,0.0,0,0.0
8,50,1.5703517587939697,5,0.157035175879397,0,0.0,0,0.0,0,0.0,0,0.0
