Group,IQR_1,Percentage_IQR_1,IQR_1.5,Percentage_IQR_1.5,IQR_2,Percentage_IQR_2,IQR_2.5,Percentage_IQR_2.5,IQR_3,Percentage_IQR_3,IQR_3.5,Percentage_IQR_3.5
0,18,5.538461538461538,11,3.3846153846153846,8,2.4615384615384617,2,0.6153846153846154,2,0.6153846153846154,0,0.0
1,162,4.5788581119276435,38,1.0740531373657434,4,0.11305822498586772,0,0.0,0,0.0,0,0.0
2,89,6.108442004118051,46,3.157172271791352,19,1.3040494166094716,9,0.6177076183939602,6,0.41180507892930684,2,0.13726835964310227
3,18,5.980066445182724,9,2.990033222591362,3,0.9966777408637874,0,0.0,0,0.0,0,0.0
7,24,7.741935483870968,12,3.870967741935484,5,1.6129032258064515,1,0.3225806451612903,1,0.3225806451612903,0,0.0
8,69,12.365591397849462,49,8.781362007168457,37,6.630824372759856,21,3.763440860215054,16,2.867383512544803,11,1.971326164874552
