Group,IQR_1,Percentage_IQR_1,IQR_1.5,Percentage_IQR_1.5,IQR_2,Percentage_IQR_2,IQR_2.5,Percentage_IQR_2.5,IQR_3,Percentage_IQR_3,IQR_3.5,Percentage_IQR_3.5
0,169,9.275521405049396,94,5.159165751920966,34,1.8660812294182216,0,0.0,0,0.0,0,0.0
1,198,2.671343766864544,2,0.026983270372369132,0,0.0,0,0.0,0,0.0,0,0.0
2,703,11.164046371287915,703,11.164046371287915,703,11.164046371287915,703,11.164046371287915,703,11.164046371287915,703,11.164046371287915
3,59,5.055698371893745,9,0.7712082262210797,1,0.08568980291345331,0,0.0,0,0.0,0,0.0
7,94,9.021113243761997,55,5.278310940499041,38,3.6468330134357005,30,2.8790786948176583,24,2.3032629558541267,17,1.6314779270633395
8,329,10.154320987654321,214,6.604938271604937,132,4.074074074074074,71,2.191358024691358,46,1.4197530864197532,34,1.0493827160493827
