Group,IQR_1,Percentage_IQR_1,IQR_1.5,Percentage_IQR_1.5,IQR_2,Percentage_IQR_2,IQR_2.5,Percentage_IQR_2.5,IQR_3,Percentage_IQR_3,IQR_3.5,Percentage_IQR_3.5
0,24,5.542725173210162,15,3.4642032332563506,2,0.4618937644341801,1,0.23094688221709006,0,0.0,0,0.0
1,80,3.859141341051616,31,1.4954172696575012,13,0.6271104679208876,4,0.1929570670525808,2,0.0964785335262904,0,0.0
2,1,5.555555555555555,1,5.555555555555555,0,0.0,0,0.0,0,0.0,0,0.0
3,11,6.395348837209303,5,2.9069767441860463,3,1.744186046511628,1,0.5813953488372093,1,0.5813953488372093,1,0.5813953488372093
7,13,19.402985074626866,6,8.955223880597014,3,4.477611940298507,1,1.4925373134328357,1,1.4925373134328357,1,1.4925373134328357
8,58,7.988980716253444,31,4.2699724517906334,13,1.790633608815427,4,0.5509641873278237,1,0.13774104683195593,1,0.13774104683195593
