Group,IQR_1,Percentage_IQR_1,IQR_1.5,Percentage_IQR_1.5,IQR_2,Percentage_IQR_2,IQR_2.5,Percentage_IQR_2.5,IQR_3,Percentage_IQR_3,IQR_3.5,Percentage_IQR_3.5
0,51,2.7991218441273324,47,2.579582875960483,35,1.920965971459934,34,1.8660812294182216,30,1.646542261251372,27,1.481888035126235
1,775,10.456017269293039,331,4.465731246627092,173,2.3340528872099298,101,1.3626551538046412,63,0.8499730167296277,40,0.5396654074473827
2,248,3.9383833571542,180,2.8585040495474034,61,0.968715261235509,43,0.6828648562807687,14,0.22232809274257584,12,0.19056693663649357
3,64,5.484147386461012,39,3.3419023136246784,29,2.4850042844901457,16,1.371036846615253,7,0.5998286203941731,4,0.34275921165381323
7,41,3.934740882917467,21,2.015355086372361,9,0.8637236084452975,5,0.47984644913627633,2,0.19193857965451055,2,0.19193857965451055
8,137,4.2297005248533495,57,1.7598024081506638,10,0.30873726458783574,0,0.0,0,0.0,0,0.0
